code,system
34476,gprdproduct
34545,gprdproduct
34560,gprdproduct
730,gprdproduct
36377,gprdproduct
490,gprdproduct
32921,gprdproduct
48097,gprdproduct
1219,gprdproduct
47988,gprdproduct
43218,gprdproduct
45346,gprdproduct
48018,gprdproduct
46956,gprdproduct
47774,gprdproduct
47948,gprdproduct
34366,gprdproduct
34312,gprdproduct
5148,gprdproduct
46878,gprdproduct
34353,gprdproduct
40340,gprdproduct
45219,gprdproduct
34381,gprdproduct
34376,gprdproduct
34891,gprdproduct
42,gprdproduct
48051,gprdproduct
34316,gprdproduct
25,gprdproduct
34535,gprdproduct
41657,gprdproduct
51,gprdproduct
34481,gprdproduct
9315,gprdproduct
5251,gprdproduct
5009,gprdproduct
5278,gprdproduct
420,gprdproduct
31658,gprdproduct
4961,gprdproduct
9316,gprdproduct
18442,gprdproduct
13041,gprdproduct
802,gprdproduct
9920,gprdproduct
39870,gprdproduct
34502,gprdproduct
34955,gprdproduct
32909,gprdproduct
40382,gprdproduct
33082,gprdproduct
34820,gprdproduct
2718,gprdproduct
7196,gprdproduct
6168,gprdproduct
31930,gprdproduct
22579,gprdproduct
9897,gprdproduct
7554,gprdproduct
6213,gprdproduct
713,gprdproduct
34746,gprdproduct
34879,gprdproduct
3411,gprdproduct
2955,gprdproduct
7374,gprdproduct
17683,gprdproduct
39060,gprdproduct
44650,gprdproduct
5775,gprdproduct
75,gprdproduct
28,gprdproduct
745,gprdproduct
34969,gprdproduct
48078,gprdproduct
45245,gprdproduct
17688,gprdproduct
15252,gprdproduct
7347,gprdproduct
9930,gprdproduct
47630,gprdproduct
47065,gprdproduct
47090,gprdproduct
47721,gprdproduct
39652,gprdproduct
818,gprdproduct
44528,gprdproduct
1221,gprdproduct
3690,gprdproduct
1223,gprdproduct
39675,gprdproduct
34814,gprdproduct
34907,gprdproduct
5985,gprdproduct
9153,gprdproduct
8380,gprdproduct
44878,gprdproduct
48058,gprdproduct
40601,gprdproduct
11627,gprdproduct
2137,gprdproduct
379,gprdproduct
45235,gprdproduct
37434,gprdproduct
